"Paratransit, Inc.",ITP_ID,NTD ID,Legacy NTD ID,Kate Review,review comments,PTO trips data inclusion,PTO trips data text info,annual ridership,Only aggregate data,Commuter Bus,Demand Response,Demand response- taxi,Bus,Rail,Other,Source,Year,Link,revenue link (if different source than data source),2017 fare revenue total----,Commuter Bus fare revenue,Demand Response fare revenue,Demand response- taxi fare revenue,Bus Rapid Transit Fare revenue,Bus fare revenue,Commuter rail fare revenue,Heavy rail fare revenue,Light Rail fare revenue,Other modes fare revenue,Other Description,STA1,STA2,Contacted,Trillium client,Agency Acronym,Administering entity,Admin Acronym,Reporter Status,Reporter Type,TypeCode,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,Associated Transit Organizations,Agency Notes,Service area density,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,Operates Transit (Y/N),Potential for GTFS static (Y/N),Transit type,Free fare on fixed-route (Y/N),Fares based on route (Y/N),Fares based on zone (Y/N),Flat fares (Y/N),Reduced fare,Reduced fare categories,Category notes,Transfers Allowed (Y/N),Transfer Time,Transfer Fee (Y/N),Transfers notes,Interagency Transfers (Y/N/?),Interagency transfer notes,Pass times/trips,Pass notes,Reservations (Y/N),Group/school trip Discount (Y/N),Ticket/Pass Sales Methods,Payment Accepted,Ticket Media,Electronic fare program,Ticket validation,Bike fee,Cheaper base fare w/ smartcard (Y/N),Reg/Adult Ticket Price Min,Reg/Adult Ticket Price Max,Pass Price Min,Pass Price Max,Fare capping,GTFS,Real-time status,GTFS Service Alerts,# of fixed routes,GTFS fares (Y/N),GTFS+ Fares (Y/N),Operates Paratransit,Paratransit fare URL,Operates Demand Response,Demand Response fare URL,T_Company,T_Background,T_Tags,T_Phone,T_Email,T_URL,T_URL_Other,T_Created,T_Last_Updated,T_Added by,T_Live in Google Maps,T_NTD ID,T_Number of Routes,T_Trillium client,T-Farebox Ratio % - Year,T_OPEX,Source,County,OPM_ID (DRMT),Local Commission,Metropolitan Planning Organization,Regional Transportation Planning Authority,Caltrans District (int),Caltrans District (string),Combined Address,Street Address,City,Zip,Lat,Long
Susanville Indian Rancheria Public Transportation Program,329,99256,9T08,x,,6,,"1,279",,,75,,"1,204",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/99256.pdf,,"$11,016",,"$1,018",,,"$9,998",,,,,,,,Y,Y,SIR,Susanville Indian Rancheria,SIR,Active,Reduced Reporter,1,Tribe,Tribe,,,,12/31/2017,4/30/2018,745 Joaquin,,,,,Rural,Susanville,CA,96130,,9,http://www.sir-nsn.gov/event/new-transportation-bus-schedule/,6739,40475501,,,0,California Non-UZA,"Susanville Indian Rancheria and Off-Reservation Trust Land, CA",0,0,0,4,,4,,,Y,Y,busfixedroute,,N,Y,N,Y,"age55over, age0-4, age5-12, student6-18, disabled",age0-4 free,,,,,,,,,,,onboardbus,,,,,,,3.00,20,,,,http://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip,4,,,Y,N,,,,,,,,,,,,,,,,,,,,,NTD,Lassen,,Lassen County Transportation Commission,Non-MPO Rural RTPA,Lassen County Transportation Commission,2,02 - Redding,,,,,,
Sage Stage,204,9R02-91008,9R02-048,x,"the state controller reports data categorized as demand response, but the NTD reports the same count of ridership split between bus and demand response ",1,,"12,624",,,"9,374",,"3,250",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91008.pdf,,"$67,148",,"$14,268",,,"$52,880",,,,,,Modoc County Local Transportation Commission,,,Y,,Modoc Transportation Agency,MTA,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,108 South Main Street,,,,Combination of fixed route schedules and demand response. Required a reservation.,Rural,Alturas,CA,96101,,9,http://sagestage.com/,,131717071,,,,,,,,,,4,4,,,Y,Y,busfixedroute,,N,Y,N,Y,"age0-12, age60over, disabled, ADAcard",,N,,,,?,http://sagestage.com/connecting-services/,,,Y,,"online, phone",cash,,,,,,1.00,50,,,,http://data.trilliumtransit.com/gtfs/sagestage-ca-us/sagestage-ca-us.zip,4,,,Y,Y,,,,,,,,,,,,,,,,,,,,,Trillium contact,Modoc,225002,Modoc County Transportation Commission,Non-MPO Rural RTPA,Modoc County Transportation Commission,2,02 - Redding,"108 South Main Street, Alturas, CA, 96101",108 South Main Street,Alturas,96101,41.484725,-120.553893
Trinity Transit,344,9R02-91035,9R02-022,x,,1,,"15,187",,,,,"15,187",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91035.pdf,,"$70,669",,,,,"$70,669",,,,,,Trinity County Transportation Commission,,Y,Y,,"Trinity, County of",TCDOT,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,31301 State Highway 3,,2490,,,Rural,Weaverville,CA,96093,2490,9,http://trinitytransit.org/,,883965394,,,,,,,,,4,,4,,,Y,Y,busfixedroute,,N,Y,N,Y,"veteran, student, age0-5, age6-11, age65over, ADAcard","One child, 6-11 years old, rides free when accompanied by a fare-paying adult. All other children thereafter qualify for the reduced rate. age0-5 free",N,,,,?,,"10ride, 20ride",,,,"onboardbus, toffice",,,,,,,1.00,10,20,80,,http://data.trilliumtransit.com/gtfs/trinity-ca-us/trinity-ca-us.zip,5,,,Y,Y,,,,,,,,,,,,,,,,,,,,,Trillium contact,Trinity,253003,Trinity County Transportation Commission,Non-MPO Rural RTPA,Trinity County Transportation Commission,2,02 - Redding,"31301 State Highway 3, Weaverville, CA, 96093",31301 State Highway 3,Weaverville,96093,40.734983,-122.932519
Siskiyou Transit and General Express,83,9R02-91048,9R02-017,x,,1,,"59,331",,,,,"59,331",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91048.pdf,,"$175,633",,,,,"$175,633",,,,,,Siskiyou County Local Transportation Commission,,Y,Y,STAGE,"Siskiyou, County of",,Active,Rural Reporter,5,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,411 4th Street,,,,,Rural,Yreka,CA,96097,,9,https://www.co.siskiyou.ca.us/generalservices/page/stage-siskiyou-transit-and-general-express,,78839100,,,,,,,,,7,,7,,,Y,Y,busfixedroute,,N,Y,N,Y,"age0-3, lowincome","age3under free, lowincome must apply/qualify",,,,,,,10ride,,,,"onboardbus, toffice",cash,customcard,,magstrip,,,1.75,6,25,30,,http://data.trilliumtransit.com/gtfs/siskiyou-ca-us/siskiyou-ca-us.zip,4,,,Y,N,,,,,,,,,,,,,,,,,,,,,Trillium contact,Siskiyou,247002,Siskiyou County Local Transportation Commission,Non-MPO Rural RTPA,Siskiyou County Local Transportation Commission,2,02 - Redding,"190 Greenhorn Road, Yreka, CA, 96097",190 Greenhorn Road,Yreka,96097,41.712553,-122.643174
Tehama Rural Area eXpress,334,9R02-91089,9R02-027,x,,1,,"102,159",,,"16,336",,"85,823",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91089.pdf,,"$124,967",,"$39,604",,,"$85,363",,,,,,Tehama County Transportation Commission,,Y,Y,TRAX,Tehama County Transit Agency,TCTA,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,9380 San Benito Avenue,,,,,Rural,Red Bluff,CA,96035,9702,9,http://www.taketrax.com/,,10992582,,,,,,,,,,11,11,6,6,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"senior, student, disabled, age65over, veteran, age0-5","age65over, age0-5 and veteran free",,,,,,,"10ride, monthly",,,,onboardbus,,,,,,,1.00,2.5,10,40,,http://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip,4,,,Y,N,Y,http://www.taketrax.com/index.html,,,,,,,,,,,,,,,,,,,Trillium contact,Tehama,252002,Tehama County Transportation Commission,Non-MPO Rural RTPA,Tehama County Transportation Commission,2,02 - Redding,"727 Oak Street, Red Bluff, CA, 96080",727 Oak Street,Red Bluff,96080,40.174205,-122.238436
Lassen Transit Service Agency,162,9R02-91098,9R02-021,x,,1,,"88,419",,"24,648,","20,126",,"43,645",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91098.pdf,,"$94,134","$71,162","$1,489",,,"$21,483",,,,,,Lassen County Local Transportation Commission,,Y,Y,LTSA,"Lassen, County of",,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,"707 Nevada Street, Suite 4",,,,Joint Powers Agreement (JPA) between the County of Lassen and the City of Susanville ,Rural,Susanville,CA,96130,,9,http://lassentransportation.com/ltsa,,830494626,,,,,,,,,,5,5,,,Y,Y,"busfixedroute, commuterbus, paratransit",,Y,Y,N,Y,"age60over, age0-6, age7-17, disabled, studentk-12, college",age0-6 free. college is free for LCC students only during semesters,,,,,?,,"monthlycity, monthlysystem, monthlycommuter, youthsummer, 1daycity, 1daysystem",,,,"onboardbus, toffice, vendor",,customcard,,,,,1.00,4,3,90,,http://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip,2,,,Y,N,Y,http://lassentransportation.com/dial-ride,,,,,,,,,,,,,,,,,,,Trillium contact,Lassen,218002,Lassen County Transportation Commission,Non-MPO Rural RTPA,Lassen County Transportation Commission,2,02 - Redding,"707 Nevada Street, Susanville, CA, 96130",707 Nevada Street,Susanville,96130,40.419881,-120.660881
Plumas Transit Systems,254,9R02-91119,9R02-005,x,,1,,"38,266",,,,,"38,266",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91119.pdf,,"$114,804",,,,,"$114,804",,,,,,Plumas County Local Transportation Commission,,Y,Y,PTS,"Plumas, County of",,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,1834 East Main Street,,,,,Rural,Quincy,CA,95971,9795,9,https://www.plumastransit.com/,,781990965,,,,,,,,,,8,8,,,Y,Y,busfixedroute,,N,Y,N,Y,"age60over, disabled, age0-7",age7under free,N,,,,?,,monthly,,,,onboardbus,cash,,,,,,1.00,4,25,100,,http://data.trilliumtransit.com/gtfs/plumas-ca-us/plumas-ca-us.zip,4,,,Y,N,,,,,,,,,,,,,,,,,,,,,Trillium contact,Plumas,232002,Plumas County Transportation Commission,Non-MPO Rural RTPA,Plumas County Transportation Commission,2,02 - Redding,"555 Main Street, Quincy, CA, 95971",555 Main Street,Quincy,95971,39.937102,-120.948927
Burney Express,82,9R02-99438,,x,"This one is confusing. I think that the data are reported under the Redding Area Bus Authority for this one. There is 0 reported trips for the County of Shasta Department of Public Works, which is the reported NTDID. I'm not sure how to reflect the agency connection with RABA ",4,Included in the Redding Area Bus Authority data,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,Shasta County Department of Public Works,,Active,Rural Reporter,6,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,1855 Placer St,,,,The County’s Public Works Department administers the County’s transit operations and funding. The County is a member of the Redding Area Bus Authority (RABA) joint powers authority. RABA provides public transportation in the urban areas of the County and some unincorporated areas of the County.,Mix,Redding,CA,96001,1770,9,https://www.cityofredding.org/departments/redding-area-bus-authority/services/burney-express,,155688864,,,,,,,,,,,,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,N,,,,,,,,,,,,,onboardbus,cash,,,,,,1.50,5,,,,http://data.trilliumtransit.com/gtfs/redding-ca-us/redding-ca-us.zip,4,,,Y,N,Y,https://www.cityofredding.org/departments/redding-area-bus-authority/services/paratransit,,,,,,,,,,,,,,,,,,,Trillium contact,Shasta,245002,Shasta Regional Transportation Agency,Shasta Regional Transportation Agency,Shasta Regional Transportation Agency,2,02 - Redding,"3333 South Market Street, Redding, CA, 96001",3333 South Market Street,Redding,96001,40.565026,-122.386804
Mammoth Lakes Transit System,190,,,x,,4,1203953 Passenger trips in 2017 https://www.estransit.com/wp-content/uploads/2017/12/16-17AnnualReport.pdf OPERATED BY EASTERN SIERRA TRANSIT AUTHORITY. DATA REPORTED ELSEWHERE,,,,,,,,,,,,,,,,,,,,,,,,,,O,,MLTS,"Mammoth Lakes, City of",,,,,,,,,,,,,,,ESTA,Operated by ESTA,Rural,Mammoth Lakes,CA,,,,https://www.estransit.com/routes-schedule/seasonal/,,,,,,,,,,,,,,,,Y,Y,busfixedroute,,N,Y,N,Y,"age60over, age0-16, disabled",,N,,,,?,,10ride,,,,onboardbus,cash,punchcard,,,,,2.00,7,30,30,,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,4,,,Y,N,N,,,,,,,,,,,,,,,,,,,,https://www.apta.com/resources/links/unitedstates/Pages/CaliforniaTransitLinks.aspx,Mono,,Mono County Local Transportation Commission,Non-MPO Rural RTPA,Mono County Local Transportation Commission,2,02 - Redding,,,,,,
Shasta Regional Transit Agency,378,,,x,,2,,,,,,,,,,,,,,,,,,,,,,,,,Shasta Regional Transportation Agency,,,,,Shasta Regional Transit Agency,SRTA,90093,9093,,,,,,,,,,,,,,Mix,Redding,,,,,https://www.srta.ca.gov/,,,,,,,,,,,,,,,,N,N,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shasta,245001,Shasta Regional Transportation Agency,Shasta Regional Transportation Agency,Shasta Regional Transportation Agency,2,02 - Redding,"1255 East Street, Redding, CA, 96001",1255 East Street,Redding,96001,40.587679,-122.388879
Sacramento Regional Transit District,273,90019,9019,x,,1,,"21,340,370",,,"340,370",,"10,100,000","10,900,000",,SacRT 2018 Fiscal Year Budget,2018,http://www.sacrt.com/documents/financialdocs/FY18_Budget-Document.pdf,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90019.pdf,"$30,487,098",,"$12,058",,,"$15,672,242",,,"$14,802,798",,,Sacramento Area Council of Governments,,Y,,SacRT,Sacramento Regional Transit District,SacRT,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,1400 29th Street,,2110,"e-Tran, Folsom Stage Line",,Urban,Sacramento,CA,95812,2110,9,http://www.sacrt.com/,1659,48947139,226,"1,031,946",28,"Sacramento, CA",,"1,723,634","3,660",471,229,,229,,,Y,Y,"busfixedroute, rail, paratransit",,N,N,Y,Y,"disabled, age62over, student, age0-5, age62over, age75over, attendant","age0-5 is free, student is only k-12 grade, semi-monthly pass for reduced fare types",Y,,Y,,?,,"1day, roundtrip, 10ride, monthly, semi-monthly",,,,"onboardbus, online, mobile, kiosk, phone, mail, vendor","cash, card, benefit","paper, Connectcard, mobile",Connectcard,"fareboxtap, visual",,,2.50,2.75,7,100,,http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip,1,,,N,N,Y,http://www.sacrt.com/accessible/,N,,,,,,,,,,,,,,,,,,NTD,Sacramento,334004,Sacramento Transportation Authority,Sacramento Area Council of Governments,Sacramento Area Council of Governments,3,03 - Marysville,"1225 R Street, Sacramento, CA, 95814",1225 R Street,Sacramento,95814,38.570839,-121.493722
Yuba-Sutter Transit Authority,376,90061,9061,x,,1,,"1,063,611",,"130,627","74,600",,"858,384",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90061.pdf,,"$1,278,648","$584,922","$136,873",,,"$556,853",,,,,,Sacramento Area Council of Governments,,Y,Y,YSTA,Yuba-Sutter Transit Authority,YSTA,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,2100 B Street,,,,,Mix,Marysville,CA,95901,,9,http://www.yubasuttertransit.com/,5058,172083438,813,"141,986",270,"Yuba City, CA",,"116,719","3,019",39,,34,34,,,Y,Y,busfixedroute,,Y,N,N,Y,"age65over, age0-4, age5-18, medicare, disabled",age0-4 free,N,,,,Y,w/ Connect Card,"monthly, 20ride",,,,"onboardbus, online, phone, mail, vendor","cash, card",Connectcard,Connectcard,fareboxtap,,N,1.00,1,3,30,daily cap,http://data.trilliumtransit.com/gtfs/yubasutter-ca-us/yubasutter-ca-us.zip,2,,,Y,N,Y,https://www.yubasuttertransit.com/dial-a-ride,,,,,,,,,,,,,,,,,,,NTD,Yuba,358001,Sacramento Area Council of Governments,Sacramento Area Council of Governments,Sacramento Area Council of Governments,3,03 - Marysville,"2100 B Street, Marysville, CA, 95901",2100 B Street,Marysville,95901,39.157092,-121.589275
Yolobus,372,90090,9090,x,,1,2014/15 stats used in srtp ( http://yolobus.com/pdf/YCTD_SRTP_FY_2014-2021_final_reduced.pdf ) same as 2015 NTD stats,"1,378,419",,,"27,067",,"1,351,352",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90090.pdf,,"$2,384,046",,"$132,205",,,"$2,251,841",,,,,,Sacramento Area Council of Governments,,Y,,,Yolo County Transportation District,YCTD,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,350 Industrial Way,,,,,Urban,Woodland,CA,95776,,9,http://www.yolobus.com/,5448,787290923,109,"528,880",28,"Sacramento, CA",,"1,723,634","3,660",471,,48,48,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"age62over, disabled, medicare, age0-4, age5-18, student","age0-4 is free, age5-18 is only discounted June-August, student only for qualified college passes",Y,,Y,,Y,http://www.yolobus.com/riderinformation/yolobusfares.php#transfers,"1day, 10ride, monthly",,,,"onboardbus, station, online, mail, vendor","cash, card","paper, Connectcard",Connectcard,fareboxtap,,N,2.25,3.25,25,100,,http://iportal.sacrt.com/GTFS/Yolobus/google_transit.zip,2,,,N,N,Y,http://www.yolobus.com/riderinformation/yolobusfares.php#paratransitfares,N,,,,,,,,,,,,,,,,,,NTD,Yolo,357002,Sacramento Area Council of Governments,Sacramento Area Council of Governments,Sacramento Area Council of Governments,3,03 - Marysville,"350 Industrial Way, Woodland, CA, 95776",350 Industrial Way,Woodland,95776,38.679319,-121.752757
Unitrans,351,90142,9142,x,,1,,"3,937,546",,,,,"3,937,546",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90142.pdf,,"$3,118,039",,,,,"$3,118,039",,,,,,Sacramento Area Council of Governments,,Y,,Unitrans,"Davis, City of",ASUCD,Active,Full Reporter,4,Urban,University,,,,6/30/2017,10/31/2017,One Shields Avenue,5 South Hall,,,Administered by partnership between the city of Davis and Associated Students University of California Davis (ASUCD),Mix,Davis,CA,95616,8759,9,http://www.unitrans.com/,2085,4953600,13,"72,611",382,"Davis, CA",,"72,794","5,157",14,35,,35,,,Y,Y,busfixedroute,,N,N,Y,Y,"age60over, age0-4, student, disabled, medicare","age60over, age0-4, student, disabled and medicare are all free. student is for UCD undergrad only. Lots of other exceptions, see website.",,,,,Y,https://unitrans.ucdavis.edu/fares/,"10ride, monthly, quarterly, annual, ",,,,onboardbus,cash,customcard,,,,,1.25,1.25,7.5,198,,http://iportal.sacrt.com/GTFS/Unitrans/google_transit.zip,2,,,N,N,N,,,,,,,,,,,,,,,,,,,,NTD,Yolo,357001,Sacramento Area Council of Governments,Sacramento Area Council of Governments,Sacramento Area Council of Governments,3,03 - Marysville,"1 Shields Avenue, Davis, CA, 95616",1 Shields Avenue,Davis,95616,38.541272,-121.748077
Davis Community Transit,90,90167,9167,x,,1,,"17,061",,,"17,061",,,,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90167.pdf,,"$32,103",,"$32,103",,,,,,,,,,,,,DCT,"Davis, City of",,Active,Reduced Reporter,999,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,1818 5th St,,,,,Mix,Davis,CA,95616,,9,http://cityofdavis.org/city-hall/parks-and-community-services/davis-community-transit,2085,4953600,21,"73,020",382,"Davis, CA",,"72,794","5,157",14,3,,3,,,Y,N,paratransit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Yolo,357003,Sacramento Area Council of Governments,Sacramento Area Council of Governments,Sacramento Area Council of Governments,3,03 - Marysville,"1818 5th Street, Davis, CA, 95616",1818 5th Street,Davis,95616,38.548204,-121.729596
Roseville Transit,271,90168,9168,x,,1,,"360,882",,"139,773","28,408",,"192,701",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90168.pdf,,"$922,627","$623,579","$84,561",,,"$214,487",,,,,,Placer County Transportation Planning Agency,,Y,,,"Roseville, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,401 Vernon Street,,,,,Mix,Roseville,CA,95678,,9,http://www.roseville.ca.us/transit/,5728,76119643,43,"135,888",28,"Sacramento, CA",,"1,723,634","3,660",471,,24,24,,,Y,Y,"busfixedroute, commuterbus, paratransit, demandresponse",,Y,N,N,Y,"age60over, disabled, medicare, age5-18, age0-4, resident","age0-4 free, resident (of Roseville) for commuter line",N,,,,Y,https://www.roseville.ca.us/cms/One.aspx?portalId=7964922&pageId=8756474,"10ride, 30day, monthly, summeryouth",summeryouth pass for age5-18 only june-aug,,,"onboardbus, tcenter, vendor, online, phone, mail","cash, card, benefit",Connectcard,Connectcard,fareboxtap,,N,1.50,4.5,4,155,,http://iportal.sacrt.com/GTFS/Roseville/google_transit.zip,2,,,N,N,Y,https://www.roseville.ca.us/cms/One.aspx?portalId=7964922&pageId=8756474,Y,https://www.roseville.ca.us/cms/One.aspx?portalId=7964922&pageId=8756474,,,,,,,,,,,,,,,,,NTD,Placer,331005,Placer County Transportation Planning Agency,Sacramento Area Council of Governments,Placer County Transportation Planning Agency,3,03 - Marysville,"311 Vernon Street, Roseville, CA, 95678",311 Vernon Street,Roseville,95678,38.748855,-121.284786
Placer County Transit,251,90196,9196,x,,1,Other- vanpool,"384,821",,"70,677","27,146",,"262,452",,"24,546",PCT SRTP,2016/2017,http://pctpa.net/library/srtp/2018/PCT/Chapters/Chapter05.pdf,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90196.pdf,"$1,124,545","$390,769","$20,794",$389,,"$644,133",,,,"$68,460",vanpool,Placer County Transportation Planning Agency,,Y,Y,PCT,"Placer, County of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,3091 County Center Dr,Suite 220,,Tahoe Area Regional Transit,,Mix,Auburn,CA,95603,,9,https://www.placer.ca.gov/1768/Placer-County-Transit,5618,71549588,471,"357,463",28,"Sacramento, CA",,"1,723,634","3,660",471,17,22,39,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"disabled, medicare, age60over, age0-5, age6-12, ",age0-5 are free,N,,,,Y,"free between Auburn Transit, Gold Country Stage, Roseville Transit. Regional transfers with Connect card","1day, 14day, 30day, 10ride",different fare/pass prices for Commuter Express,,,"onboardbus, tcenter, vendor","cash, card","paper, Connectcard",Connectcard,fareboxtap,,N,1.25,1.25,2.5,37.5,,http://data.trilliumtransit.com/gtfs/placercounty-ca-us/placercounty-ca-us.zip,2,,,Y,Y,N,,Y,https://www.placer.ca.gov/1796/Fares,,,,,,,,,,,,,,,,,NTD,Placer,331004,Placer County Transportation Planning Agency,Sacramento Area Council of Governments,Placer County Transportation Planning Agency,3,03 - Marysville,"11432 F Avenue, Auburn, CA, 95603",11432 F Avenue,Auburn,95603,38.93673,-121.101474
e-Tran,105,90205,9205,x,,1,,"860,773",,"403,636","23,934",,"433,203",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90205.pdf,,"$1,430,071","$726,240","$123,776",,,"$580,055",,,,,,Sacramento Area Council of Governments,,Y,,e-Tran,"Elk Grove, City of",SacRT,Active,Full Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,8401 Laguna Palms Way,,,,Administered by a partnership between the city of Elk Grove and Sacramento Regional Transit.,Urban,Elk Grove,CA,95758,,9,http://www.e-tran.org/,6652,130410389,42,"171,059",28,"Sacramento, CA",,"1,723,634","3,660",471,,54,54,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age62-74, age75over, age0-4, age5-18, disabled, medicare, military",age0-4 and age75over free,Y,2hr,Y,,?,,"1day, monthly, 10ride",,,Y,"onboardbus, mail, online, vendor",,Connectcard,Connectcard,,,,2.25,2.25,6,100,,https://share.elkgrovecity.org/messages/tpLyuetXMvzjM8oongDM5C/attachments/LbeTBVJuC2Eh3QPKIH6k7R/download/ETRAN_GTFS_20180705.zip,4,,,Y,N,Y,http://www.elkgrovecity.org/residents/transportation/transit_e-tran/paratransit_service,,,,,,,,,,,,,,,,,,,NTD,Sacramento,334002,Sacramento Transportation Authority,Sacramento Area Council of Governments,Sacramento Area Council of Governments,3,03 - Marysville,"827 7th Street, Sacramento, CA, 95814",827 7th Street,Sacramento,95814,38.582682,-121.496697
Butte County Association of Governments,47,90208,9208,x,,2,,,,0,,0,33,0,26 cutaway,,,,,,,,,,,,,,,,Butte County Association of Governments,,,,BCAG,Butte County Association of Governments,BCAG,Active,Full Reporter,2,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2017,10/31/2017,326 Huss Drive,Suite 150,,,,Mix,Chico,CA,95928,,9,http://www.bcag.org/,1627,602797891,202,"185,545",306,"Chico, CA",,"98,176","2,853",34,,47,47,,,N,N,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Butte,304001,Butte County Association of Governments,Butte County Association of Governments,Butte County Association of Governments,3,03 - Marysville,"326 Huss Lane, Chico, CA, 95928",326 Huss Lane,Chico,95928,39.705042,-121.81943
